date,open,high,low,close,volume
2024-01-02,1685.00,1702.50,1678.00,1698.30,3214500
2024-01-03,1699.10,1710.00,1685.20,1705.80,2890100
2024-01-04,1706.00,1708.40,1690.10,1692.50,2456700
2024-01-05,1691.00,1701.60,1672.30,1675.90,3120800
2024-01-08,1676.50,1688.00,1660.20,1663.10,2987400
2024-01-09,1664.00,1680.30,1658.90,1677.40,2566900
2024-01-10,1678.20,1695.00,1675.00,1691.70,2645300
2024-01-11,1692.00,1701.20,1686.40,1689.30,2319800
2024-01-12,1688.50,1696.80,1679.00,1683.60,2198400
2024-01-15,1684.00,1702.10,1681.50,1699.90,2873100
